机型编号,串号一,串号二,进价
MZ-32456,4564646467,98987978946464,1099.00
MZ-32456,46456465679877,78878454579879789,1099.00
MZ-32456,46464646456464,467467897545789789,1099.00
MZ-32456,7854561321,15465489751,999.00
MZ-32456,787796879876456,78798879445,1099.00
MZ-32456,78978978978988,45646456479777888,1099.00
MZ-32456,7978654464646464,446464646797979,1099.00
MZ-32456,79789789789888,789789785454844,1099.00
MZ-32456,797979797797975566,464645646464664678,1099.00
MZ-32456,9796786543453,46778979764564,1099.00
